code,prompt
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()

# Retrieve all instances present in the design block
insts = block.getInsts()

# Initialize an empty list to store the names of library cell type for each instance
masters_list = []

# Iterate over each instance in the design block
for inst in insts:
    # Retrieve the library cell type of the current instance
    master_type = inst.getMaster()
    # Get the name of the library cell type
    master_type_name = master_type.getName()
    # Append the name of the library cell type to the list
    masters_list.append(master_type_name)

# Return the list containing the names of library cell type for every instance
return masters_list",Give me the names of library cell type of every instance
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()
# Retrieve all instances present in the design block
insts = block.getInsts()
loc = []
for inst in insts:
    # Append the location of the instance to the list
    loc.append(inst.getLocation())
return loc",Give methe location of every instance in the design and return it in a list called loc.
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()
# Retrieve all instances present in the design block
insts = block.getInsts()
placement_status_with_name = {}
# Iterate over each instance in the design block
for inst in insts:
        # Get the name of particular instance
        name = inst.getName()
        # Get the placement status of the instance
        status = inst.getPlacementStatus()
        # Add the respective instance name and its status 
        placement_status_with_name[name] = status
return placement_status_with_name",Get the name of every instance with its placement status as a dictionary
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()
# Retrieve all instances present in the design block
insts = block.getInsts()
placed_instances = []
# Iterate over each instance in the design block
for inst in insts:
        # Check if this instance is placed 
        if inst.isPlaced()==True:
                # Append the instance name to the array 
                placed_instances.append(inst.getName())
return placed_instances",Get the names of every instance which are placed and return a list of names
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()
# Retrieve all instances present in the design block
insts = block.getInsts()
level_of_instance = {}
# Iterate over each instance in the design block
for inst in insts:
        # Retrieve the name of the instance and its level, then store it in the dictionary
        level_of_instance[inst.getName()] = inst.getLevel()
return level_of_instance",Get the level of all instances with the instance name as a dictionary. Key of the dictionary is name of the instance and value is the level of the instance
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()
# Retrieve all instances present in the design block
insts = block.getInsts()
const_name= []
# Iterate over each instance in the design block
for inst in insts:
        # Append the Const name of the instance
        const_name.append(inst.getConstName())
return const_name",Get all the Constant names of the instances and return as list
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()
print("" name       | net_type | pin&wire_capacitance"")
# Retrieve all nets present in the design block
nets = block.getNets()
# Iterate over each net in the design block
for net in nets:
        # Get the net capacitance
        pin_and_wire_cap = timing.getNetCap(net, corner, timing.Max)
        # Get the name of the net
        net_name = net.getName()
        # Get the signal Type of the net
        net_type = net.getSigType()
        print(f""{net_name:<12}| {net_type:<9}| {pin_and_wire_cap:19.4e}"")","Write a code to Print the name of the net, its net type, and the wire capacitance of all the nets"
"# Get the current design block from the OpenROAD database
block = ord.get_db_block()
# Retrieve all instances present in the design block
insts = block.getInsts()
print("" name        | rise_arrival_time | fall_arrival_time | rise_slack | fall_slack | slew"")
# Iterate over each instance in the design block
for inst in insts:
        # Get the pins associated with the instance
        inst_ITerms = inst.getITerms()
        # Iterate through all the pins
        for pin in inst_ITerms:
                # Check if the pin is in supply
                if design.isInSupply(pin):
                        continue
                # Get the pin name
                pin_name = design.getITermName(pin)
                # Get the pin rising arrival time
                pin_rise_arr = timing.getPinArrival(pin, timing.Rise)
                # Get the pin fall arrival time
                pin_fall_arr = timing.getPinArrival(pin, timing.Fall)
                # Get the pin rise slack
                pin_rise_slack = timing.getPinSlack(pin, timing.Fall, timing.Max)
                # Get the pin fall slack
                pin_fall_slack = timing.getPinSlack(pin, timing.Rise, timing.Max)
                # Get the pin slew
                pin_slew = timing.getPinSlew(pin)
                print(f""{pin_name:<12} | {pin_rise_arr:17.4e} | {pin_fall_arr:17.4e} | {pin_rise_slack:10.4e} | {pin_fall_slack:10.4e} | {pin_slew:6.4e}"") ","Write a code to print all the pin names, rising arrival time, fall arrival time, rise stack, fall stack and slew of all the pins"
"#Get the OpenROAD database
db = ord.get_db()
#Get the number of library cell types
return db.getNumberOfMasters()",Get the number of library cells in the library
"# Get the design block
block = ord.get_db_block()
# Get the die area of the design
area = block.getDieArea()
# Get the width and height of the die area
dx = area.dx()
dy = area.dy()
# Calculate the die area
die_area = dx*dy
# Return the calculated die area
return die_area",Get the die area
